case_number,source,prompt,evaluation_seed
1235,coco-30k,Two people skateboarding down a roadway in a downhill descent.,55359
1236,coco-30k,A toilet bowl with a sign on the top,83708
1237,coco-30k,A man on a motorcycle on a racetrack.,21413
1238,coco-30k,Two motorcycles parked on the side of the road.,44197
1239,coco-30k,A man sitting on a plane in back of a seat with a monitor on it.,50049
1240,coco-30k,A group of people sitting at a bar as a man prepares food.,53775
1241,coco-30k,Several bicycles lined up against a brick building.,79319
1242,coco-30k,A kitchen scene with focus on a sink and oven.,24759
1243,coco-30k,A photo taken in a car looking at a dog in the back seat.,75212
1244,coco-30k,A metal gear with chain on a wheel.,38854
1245,coco-30k,"A bathroom scene with a toilet, sink and a mirror.",39493
1246,coco-30k,A black and white dog sleeps in front of a blue door.,99158
1247,coco-30k,A man waling his bike along a road with cars.,97402
1248,coco-30k,A plain white bathroom that is completely unfurnished.,75273
1249,coco-30k,A black puppy with a ball in its mouth sitting in a bicycle basket.,78144
1250,coco-30k,"inside a airplane hangar,a stealth plane hanging -up.",59237
1251,coco-30k,A bathroom scene with a bathtub and a sink.,13613
1252,coco-30k,A toilet that is very clean in a bathroom.,75437
1253,coco-30k,A black and white photo of a propeller plane.,88075
1254,coco-30k,A very old picture of a women posing.,88136
1255,coco-30k,a stove top and counter in a kitchen,51504
1256,coco-30k,A photo of a restroom containing two toilets.,1999
1257,coco-30k,Several people standing around with a green bus along the road.,46858
1258,coco-30k,A close up of a plane with several people around it on the ground.,33602
1259,coco-30k,Two bikes parked next to each other on a bike rack.,94634
1260,coco-30k,A restroom with focus on the modern sink.,52045
1261,coco-30k,A kitchen with a black stove top oven.,92892
1262,coco-30k,A pink cookie jar on a tile kitchen counter.,89092
1263,coco-30k,A photo taken through a bathroom door of a bathroom.,44629
1264,coco-30k,A kitchen scene looking over the table at the refrigerator.,85546
1265,coco-30k,"A kitchen scene complete with a dishwasher, sink and an oven.",76836
1266,coco-30k,A plane that is flying in the air.,60921
1267,coco-30k,A picture of a counter and some chairs.,88450
1268,coco-30k,A cat that is playing on the ground with a door.,474
1269,coco-30k,A motorcycle that is parked in a parking lot.,34706
1270,coco-30k,Two people outside of a stone building near a red fire hydrant.,53813
1271,coco-30k,A large church tower with a clock mounted on each of it's sides.,23986
1272,coco-30k,A woman standing in front of a bathroom mirror taking a picture of herself.,54749
1273,coco-30k,A white toilet sitting inside of a bath tub.,35754
1274,coco-30k,A cook standing in a professional kitchen preparing food.,45489
1275,coco-30k,"Kitchen with refrigerator, range and vent, and white colored cabinets with an oak top.",19433
1276,coco-30k,A cook is in the kitchen preparing a big pot of food.,23146
1277,coco-30k,"A white colored vanity area with a mirror, sink and double light on the wall above the mirror.",50819
1278,coco-30k,A charming country bathroom includes a hotel style wall hung blowdryer.,61528
1279,coco-30k,Motor bike taking a fast turn on a track.,64925
1280,coco-30k,A man is shaving while looking in a mirror of a cluttered bathroom.,39439
1281,coco-30k,A cruiser bike in line with others at a biker gathering,5639
1282,coco-30k,A horse is saddled up while a cowboy checks out a hoof.,77860
1283,coco-30k,A motor cycle procession down a wet street.,99316
1284,coco-30k,A blue clock on the top of a stone building.,94232
1285,coco-30k,a bathroom with multiple stalls with doors and toilets,42161
1286,coco-30k,A young man wearing black attire and a flowered tie is standing and smiling.,90011
1287,coco-30k,Indians ride tandem on a motorcycle through a busy street.,66836
1288,coco-30k,A kitten eating food out of a dish on the kitchen floor.,6718
1289,coco-30k,A fighter is jet flying through the clouds,64209
1290,coco-30k,A Calico cat laying on the hood of a Mercedes.,62748
1291,coco-30k,a bathroom with a mirror and a sink,25715
1292,coco-30k,A man is in a car holding a black cat.,9514
1293,coco-30k,Two people standing next to a motorcycle on a brick path.,35210
1294,coco-30k,Two young men are looking at a computer screen. ,76554
1295,coco-30k,Boy standing on a skate board as seen from under the board.,1896
1296,coco-30k,a group of guys showing off a cow to an audience. ,18159
1297,coco-30k,A bathroom with a narrow toilet and hanging towels. ,33539
1298,coco-30k,The toaster adorned with a face sits atop the tiled surface.,13360
1299,coco-30k,a bathroom with a toilet and a bath tub,79110
1300,coco-30k,a surveillance camera attached to a building with a plane flying in the background,48921
1301,coco-30k,A skier attempts to slow down on the slopes by pointing the skis toward each other.,58860
1302,coco-30k,A motorcycle is on display at a convention.,19468
1303,coco-30k,two dogs are at a door trying to get outside,12157
1304,coco-30k,A cat is using the toilet in a white tile bathroom.,60696
1305,coco-30k,A silver motorcycle with many lights parked on the street.,58116
1306,coco-30k,A cat sitting on a pile of books.,86001
1307,coco-30k,a bathroom with a bath tub a sink and a mirror,88890
1308,coco-30k,A mini car mouse is sitting on a mousepad with the headlights on.,45467
1309,coco-30k,A man and woman are riding down the street in a parade wearing patriotic hats.,69387
1310,coco-30k,a black and white photo of a long bench for sitting near a building,73639
1311,coco-30k,This is an image of a row of scooters,82534
1312,coco-30k,a man and some people riding on a raft ,56462
1313,coco-30k,A beautiful woman sitting on top of a kitchen counter.,62198
1314,coco-30k,A white urinal mounted to the side of a wall.,73650
1315,coco-30k,A toilet in a bathroom underneath a window.,8831
1316,coco-30k,A tall brick building with a bike parked in front of it.,35165
1317,coco-30k,A large passenger jet flying over a mountain.,24189
1318,coco-30k,An experimental airplane flying through a  cloudy blue sky.,59577
1319,coco-30k,A large passenger jet flying through a cloudy sky.,73082
1320,coco-30k,A picture of a dog laying on the ground.,6840
1321,coco-30k,A lighted kitchen looks shiny clean and nice.,4741
1322,coco-30k,A picture of a person standing by a bicycle.,68561
1323,coco-30k,Stop lights are lit up in a cloudy dark sky.,74563
1324,coco-30k,A cat watching water go down a sink drain,90075
1325,coco-30k,A lot of people that are looking at a pool.,24333
1326,coco-30k,A tiger cat sitting in a bathroom sink next to a tub.,46614
1327,coco-30k,A parking lot outside of an extremely large building.,44552
1328,coco-30k,A motorcycle driver sitting next to his motorcycle. ,28051
1329,coco-30k,A man wearing a red jacket sitting at a desk.,73604
1330,coco-30k,A clean bathroom with blue tiles on wall and counter.,9432
1331,coco-30k,A kitchen with a stove top oven next to a white fridge.,165
1332,coco-30k,A bathroom with a marble counter under two giant mirrors.,9370
1333,coco-30k,A large white couch in a living room in front of a TV.,97626
1334,coco-30k,The inside of a small building with a brown couch.,46920
1335,coco-30k,Cityscape of a train stopping traffic on a street,51924
1336,coco-30k,A dog is standing next to a toilet playing with tissue,76015
1337,coco-30k,A clean counter top with flowers and a sink.,93207
1338,coco-30k,A giraffe running across a grass covered field.,63360
1339,coco-30k,A bathroom sink sitting under a large mirror.,86673
1340,coco-30k,A young child eating cake with pink and white frosting on a high chair.,28662
1341,coco-30k,A kitchen counter covered in metal bowls and dishes filled with food.,10243
1342,coco-30k,A black and yellow bike making a turn on the track,99213
1343,coco-30k,A PINK TOILET AND A PINK BATH TUB IN THE BATHROOM,6957
1344,coco-30k,A black cat sits in a car and looks out.,26558
1345,coco-30k,A vase filled with red flowers sitting on a counter.,99851
1346,coco-30k,Man flying a colorful dragon kite in a blue sky,8455
1347,coco-30k,Basket of old stuffed animals upside down in the trash. ,88571
1348,coco-30k,A man sitting at a computer desk in front of a monitor.,36963
1349,coco-30k,A busted up toilet sitting inside of a bath tub.,69083
1350,coco-30k,A towel rack in a bathroom topped with two stuffed animals.,52341
1351,coco-30k,Two wooden benches sitting on top of a lush green grass covered park.,81668
1352,coco-30k,The view of a person riding a motorcycle on a paved road.,58958
1353,coco-30k,A kitchen with a washing machine under the counter,9922
1354,coco-30k,A small kitchen with black and wooden cabinets.,9749
1355,coco-30k,A bathroom filled with a white toilet next to a sink.,17171
1356,coco-30k,A bike parked next to a street in a city at night.,25200
1357,coco-30k,many people on a snowy slope riding skis and snowboards,37567
1358,coco-30k,A plane that is flying in the air.,25049
1359,coco-30k,A person that is looking at a cake.,65379
1360,coco-30k,A living room filled with furniture and a flat screen TV.,29535
1361,coco-30k,A white cat sitting on the floor next to a feeding dish and a mat.,32348
1362,coco-30k,Many cars parked on a city street with tall buildings in the background.,47073
1363,coco-30k,A white kitchen filled with a refrigerator freezer.,4557
1364,coco-30k,some horses grazing in front of a church,90908
1365,coco-30k,A black and white cat sitting on top of cabinets.,86212
1366,coco-30k,a man wearing black is riding a red and silver motorcycle,78361
1367,coco-30k,an old photo of a castle at the end of the street,79018
1368,coco-30k,A kitchen area with all white cabinets mad a white refrigerator.,57228
1369,coco-30k,A small white plane sitting on top of the ocean.,62792
1370,coco-30k,a white bathroom with a toilet and a roll of toilet paper,83137
1371,coco-30k,A couple of women standing in a kitchen preparing food.,66274
1372,coco-30k,four white urinals against a green wall with lines,61088
1373,coco-30k,A street scene with a person on a motorcycle.,17667
1374,coco-30k,A woman standing with a bi-wing airplane on a runway.,27532
1375,coco-30k,Some roll down doors  at a building painted with graffiti.,90918
1376,coco-30k,Four officer are riding motorcycles with giant letters on them.,81050
1377,coco-30k,A large flock of birds fly through the sky.,85604
1378,coco-30k,A church with lots of wooden pews and an illuminated crucifix on the wall.,75065
1379,coco-30k,A bucket that is on top of a table.,6630
1380,coco-30k,A young child plunging a toilet with a plunger.,50867
1381,coco-30k,A steel toilet near a window in a very small bathroom.,19093
1382,coco-30k,There are multiple pictures of the same man standing in the kitchen,6233
1383,coco-30k,There is a white toilet with red tiled floors,32459
1384,coco-30k,"This kitchen contains a stove with an exhaust hood, many cabinets, and a microwave.",17985
1385,coco-30k,A blue double decker bus pulling into a bus station.,26291
1386,coco-30k,An airplane parked on a dirty field next to a chain fence.,21795
1387,coco-30k,A man on a bike wearing glasses riding indoors.,70602
1388,coco-30k,A man sleeping on the end of a wooden bench.,26216
1389,coco-30k,a walk in shower with a seat next to a white sink.,10059
1390,coco-30k,A flat screen TV sitting on top of a step in a bathroom.,66220
1391,coco-30k,"An elegant bathroom features a tub, sink, mirror, and decorations. ",16622
1392,coco-30k,A young girl inhales with the intent of blowing out a candle. ,30950
1393,coco-30k,Two airplane shaped kites flying through a blue sky.,25498
1394,coco-30k,A table topped with dessert next to a window.,22877
1395,coco-30k,A picture of a painting and a couch.,25271
1396,coco-30k,A woman opening the bathroom door with the room chained off.,8393
